{2025.04.18_21.37.50}boot.spinand deleted!
{2025.04.18_21.37.50}cfg.spinand deleted!
{2025.04.18_21.37.50}fip.bin deleted!
{2025.04.18_21.37.50}fip_spl.bin deleted!
{2025.04.18_21.37.50}fw_payload_uboot.bin deleted!
{2025.04.18_21.37.50}partition_spinand.xml deleted!
{2025.04.18_21.37.50}ramboot.itb deleted!
{2025.04.18_21.37.50}rootfs.spinand deleted!
{2025.04.18_21.37.50}system.spinand deleted!
{2025.04.18_21.37.50}upgrade.zip deleted!
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.54}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.37.55}[INFO] Waiting for USB device connection:  /    
