{2025.04.24_17.13.34}boot.spinor deleted!
{2025.04.24_17.13.34}data.spinor deleted!
{2025.04.24_17.13.34}fip.bin deleted!
{2025.04.24_17.13.34}fip_spl.bin deleted!
{2025.04.24_17.13.34}fw_payload_uboot.bin deleted!
{2025.04.24_17.13.34}partition_spinor.xml deleted!
{2025.04.24_17.13.34}ramboot.itb deleted!
{2025.04.24_17.13.34}rootfs.spinor deleted!
{2025.04.24_17.13.34}upgrade.zip deleted!
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.37}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.38}[INFO] Waiting for USB device connection:  \    
